----------------------------------------
Begin Torque Prologue on nid25257
at Sat Nov 17 21:06:57 CST 2018
Job Id:			9232114.bw
Username:		traXXX
Group:			TRAIN_bauh
Job name:		mp9-part2
Requested resources:	nodes=1:ppn=16:xk,walltime=10:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.292 elapsed
----------------------------------------




>>>    Batch: 6304 | Accuracy: 62.5
>>>    Batch: 6320 | Accuracy: 62.5
>>>    Batch: 6336 | Accuracy: 56.25
>>>    Batch: 6352 | Accuracy: 81.25
>>>    Batch: 6368 | Accuracy: 62.5
>>>    Batch: 6384 | Accuracy: 68.75
>>>    Batch: 6400 | Accuracy: 75.0
>>>    Batch: 6416 | Accuracy: 56.25
>>>    Batch: 6432 | Accuracy: 56.25
>>>    Batch: 6448 | Accuracy: 62.5
>>>    Batch: 6464 | Accuracy: 62.5
>>>    Batch: 6480 | Accuracy: 87.5
>>>    Batch: 6496 | Accuracy: 62.5
>>>    Batch: 6512 | Accuracy: 75.0
>>>    Batch: 6528 | Accuracy: 62.5
>>>    Batch: 6544 | Accuracy: 81.25
>>>    Batch: 6560 | Accuracy: 68.75
>>>    Batch: 6576 | Accuracy: 75.0
>>>    Batch: 6592 | Accuracy: 68.75
>>>    Batch: 6608 | Accuracy: 56.25
>>>    Batch: 6624 | Accuracy: 75.0
>>>    Batch: 6640 | Accuracy: 56.25
>>>    Batch: 6656 | Accuracy: 50.0
>>>    Batch: 6672 | Accuracy: 75.0
>>>    Batch: 6688 | Accuracy: 62.5
>>>    Batch: 6704 | Accuracy: 62.5
>>>    Batch: 6720 | Accuracy: 56.25
>>>    Batch: 6736 | Accuracy: 75.0
>>>    Batch: 6752 | Accuracy: 56.25
>>>    Batch: 6768 | Accuracy: 62.5
>>>    Batch: 6784 | Accuracy: 43.75
>>>    Batch: 6800 | Accuracy: 62.5
>>>    Batch: 6816 | Accuracy: 62.5
>>>    Batch: 6832 | Accuracy: 62.5
>>>    Batch: 6848 | Accuracy: 43.75
>>>    Batch: 6864 | Accuracy: 56.25
>>>    Batch: 6880 | Accuracy: 56.25
>>>    Batch: 6896 | Accuracy: 56.25
>>>    Batch: 6912 | Accuracy: 62.5
>>>    Batch: 6928 | Accuracy: 56.25
>>>    Batch: 6944 | Accuracy: 68.75
>>>    Batch: 6960 | Accuracy: 62.5
>>>    Batch: 6976 | Accuracy: 68.75
>>>    Batch: 6992 | Accuracy: 56.25
>>>    Batch: 7008 | Accuracy: 62.5
>>>    Batch: 7024 | Accuracy: 56.25
>>>    Batch: 7040 | Accuracy: 43.75
>>>    Batch: 7056 | Accuracy: 62.5
>>>    Batch: 7072 | Accuracy: 62.5
>>>    Batch: 7088 | Accuracy: 56.25
>>>    Batch: 7104 | Accuracy: 56.25
>>>    Batch: 7120 | Accuracy: 68.75
>>>    Batch: 7136 | Accuracy: 56.25
>>>    Batch: 7152 | Accuracy: 81.25
>>>    Batch: 7168 | Accuracy: 62.5
>>>    Batch: 7184 | Accuracy: 75.0
>>>    Batch: 7200 | Accuracy: 50.0
>>>    Batch: 7216 | Accuracy: 75.0
>>>    Batch: 7232 | Accuracy: 50.0
>>>    Batch: 7248 | Accuracy: 62.5
>>>    Batch: 7264 | Accuracy: 62.5
>>>    Batch: 7280 | Accuracy: 68.75
>>>    Batch: 7296 | Accuracy: 43.75
>>>    Batch: 7312 | Accuracy: 62.5
>>>    Batch: 7328 | Accuracy: 75.0
>>>    Batch: 7344 | Accuracy: 62.5
>>>    Batch: 7360 | Accuracy: 62.5
>>>    Batch: 7376 | Accuracy: 43.75
>>>    Batch: 7392 | Accuracy: 56.25
>>>    Batch: 7408 | Accuracy: 75.0
>>>    Batch: 7424 | Accuracy: 81.25
>>>    Batch: 7440 | Accuracy: 62.5
>>>    Batch: 7456 | Accuracy: 50.0
>>>    Batch: 7472 | Accuracy: 43.75
>>>    Batch: 7488 | Accuracy: 87.5
>>>    Batch: 7504 | Accuracy: 68.75
>>>    Batch: 7520 | Accuracy: 75.0
>>>    Batch: 7536 | Accuracy: 50.0
>>>    Batch: 7552 | Accuracy: 50.0
>>>    Batch: 7568 | Accuracy: 68.75
>>>    Batch: 7584 | Accuracy: 81.25
>>>    Batch: 7600 | Accuracy: 68.75
>>>    Batch: 7616 | Accuracy: 43.75
>>>    Batch: 7632 | Accuracy: 68.75
>>>    Batch: 7648 | Accuracy: 68.75
>>>    Batch: 7664 | Accuracy: 75.0
>>>    Batch: 7680 | Accuracy: 75.0
>>>    Batch: 7696 | Accuracy: 62.5
>>>    Batch: 7712 | Accuracy: 81.25
>>>    Batch: 7728 | Accuracy: 81.25
>>>    Batch: 7744 | Accuracy: 50.0
>>>    Batch: 7760 | Accuracy: 93.75
>>>    Batch: 7776 | Accuracy: 62.5
>>>    Batch: 7792 | Accuracy: 81.25
>>>    Batch: 7808 | Accuracy: 50.0
>>>    Batch: 7824 | Accuracy: 68.75
>>>    Batch: 7840 | Accuracy: 56.25
>>>    Batch: 7856 | Accuracy: 68.75
>>>    Batch: 7872 | Accuracy: 56.25
>>>    Batch: 7888 | Accuracy: 68.75
>>>    Batch: 7904 | Accuracy: 81.25
>>>    Batch: 7920 | Accuracy: 81.25
>>>    Batch: 7936 | Accuracy: 43.75
>>>    Batch: 7952 | Accuracy: 37.5
>>>    Batch: 7968 | Accuracy: 56.25
>>>    Batch: 7984 | Accuracy: 56.25
>>>    Batch: 8000 | Accuracy: 56.25
>>>    Batch: 8016 | Accuracy: 81.25
>>>    Batch: 8032 | Accuracy: 81.25
>>>    Batch: 8048 | Accuracy: 75.0
>>>    Batch: 8064 | Accuracy: 81.25
>>>    Batch: 8080 | Accuracy: 81.25
>>>    Batch: 8096 | Accuracy: 75.0
>>>    Batch: 8112 | Accuracy: 75.0
>>>    Batch: 8128 | Accuracy: 75.0
>>>    Batch: 8144 | Accuracy: 56.25
>>>    Batch: 8160 | Accuracy: 81.25
>>>    Batch: 8176 | Accuracy: 56.25
>>>    Batch: 8192 | Accuracy: 56.25
>>>    Batch: 8208 | Accuracy: 62.5
>>>    Batch: 8224 | Accuracy: 87.5
>>>    Batch: 8240 | Accuracy: 81.25
>>>    Batch: 8256 | Accuracy: 62.5
>>>    Batch: 8272 | Accuracy: 81.25
>>>    Batch: 8288 | Accuracy: 62.5
>>>    Batch: 8304 | Accuracy: 75.0
>>>    Batch: 8320 | Accuracy: 81.25
>>>    Batch: 8336 | Accuracy: 75.0
>>>    Batch: 8352 | Accuracy: 75.0
>>>    Batch: 8368 | Accuracy: 75.0
>>>    Batch: 8384 | Accuracy: 81.25
>>>    Batch: 8400 | Accuracy: 62.5
>>>    Batch: 8416 | Accuracy: 56.25
>>>    Batch: 8432 | Accuracy: 75.0
>>>    Batch: 8448 | Accuracy: 81.25
>>>    Batch: 8464 | Accuracy: 68.75
>>>    Batch: 8480 | Accuracy: 87.5
>>>    Batch: 8496 | Accuracy: 75.0
>>>    Batch: 8512 | Accuracy: 62.5
>>>    Batch: 8528 | Accuracy: 62.5
>>>    Batch: 8544 | Accuracy: 68.75
>>>    Batch: 8560 | Accuracy: 75.0
>>>    Batch: 8576 | Accuracy: 81.25
>>>    Batch: 8592 | Accuracy: 87.5
>>>    Batch: 8608 | Accuracy: 93.75
>>>    Batch: 8624 | Accuracy: 68.75
>>>    Batch: 8640 | Accuracy: 62.5
>>>    Batch: 8656 | Accuracy: 50.0
>>>    Batch: 8672 | Accuracy: 68.75
>>>    Batch: 8688 | Accuracy: 75.0
>>>    Batch: 8704 | Accuracy: 43.75
>>>    Batch: 8720 | Accuracy: 81.25
